0,1,2,3,4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0
0.0,0.01414213562373095,0.01,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.13892443989449804,0.0,0.0,0.0,0.0
0.3301514803843836,0.14422205101855956,0.01414213562373095,0.0,0.0
0.44045431091090487,0.3047950130825634,0.0,0.0,0.0
0.7262231062146123,0.38275318418009274,0.10816653826391967,0.0,0.0
0.7106335201775948,0.45,0.15811388300841897,0.01,0.0
0.7657675887630659,0.5122499389946279,0.022360679774997897,0.0,0.0
0.7864477096412704,0.5663920903402518,0.01414213562373095,0.01,0.0
0.8280700453464066,0.6010823570859487,0.0282842712474619,0.0,0.0
1.223315167894194,1.1030865786510142,0.9121951545584969,0.43278170016764805,0.0
1.1879393923933999,0.9758073580374355,0.7072481884034769,0.03605551275463989,0.0
1.1596551211459378,0.9121951545584969,0.6152235366108809,0.01414213562373095,0.0
1.145512985522207,0.8697700845625814,0.5099019513592785,0.01414213562373095,0.0
1.138463877336475,0.8417244204607586,0.3280243893371345,0.01,0.0
