0,1,2,3,4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0
0.19,0.08,0.01,0.0,0.0
0.28,0.2,0.0,0.0,0.0
0.45,0.21,0.06,0.0,0.0
0.45,0.27,0.09,0.01,0.0
0.5,0.32,0.01,0.0,0.0
0.52,0.38,0.01,0.01,0.0
0.56,0.42,0.02,0.0,0.0
0.87,0.78,0.64,0.28,0.0
0.84,0.69,0.49,0.02,0.0
0.82,0.65,0.44,0.01,0.0
0.81,0.62,0.38,0.01,0.0
0.81,0.61,0.26,0.01,0.0
