0,1,2,3,4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0
0.0,0.01,0.01,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0
0.27,0.12,0.01,0.0,0.0
0.34,0.23,0.0,0.0,0.0
0.57,0.32,0.09,0.0,0.0
0.55,0.36,0.13,0.0,0.0
0.58,0.4,0.02,0.0,0.0
0.59,0.42,0.01,0.0,0.0
0.61,0.43,0.02,0.0,0.0
0.86,0.78,0.65,0.33,0.0
0.84,0.69,0.51,0.03,0.0
0.82,0.64,0.43,0.01,0.0
0.81,0.61,0.34,0.01,0.0
0.8,0.58,0.2,0.0,0.0
